bank_conflict_stall_cycles,batch_size,cycles,experiment,fifo_stall_cycles,lane_restore_cycles,layout_service_cycles,logical_hbm_read_bytes,logical_hbm_write_bytes,model,packet_bandwidth_floor_cycles,packet_inverse_rotation_values,packet_ops,packet_read_packets,packet_service_cycles,packet_write_packets,phase,physical_hbm_read_bytes,physical_hbm_write_bytes,resource_busy_cycles,resource_queue_wait_cycles,speedup_vs_arlo_B,timeline_event_count,tokens,variant
0,1,10674562,prefill_s16,0,0,47104,14522599168,89810944,nemotron3,0,0,0,0,0,0,prefill,14522599168,89810944,"{""banked_output_sram"": 47104, ""hbm"": 9367419, ""matrix"": 788494, ""vector"": 504018}","{""banked_output_sram"": 0, ""hbm"": 9042333, ""matrix"": 0, ""vector"": 0}",0.9955872662503623,1279,16,A_row_gather_static
0,1,10627458,prefill_s16,0,0,0,14522599168,89810944,nemotron3,0,0,0,0,0,0,prefill,14522599168,89810944,"{""hbm"": 9367419, ""matrix"": 788494, ""vector"": 504018}","{""hbm"": 9042333, ""matrix"": 0, ""vector"": 0}",1.0,1256,16,B_arlo_stride_postincrement
0,1,10627458,prefill_s16,0,0,0,14522599168,89810944,nemotron3,0,0,0,0,0,0,prefill,14522599168,89810944,"{""hbm"": 9367419, ""matrix"": 788494, ""vector"": 504018}","{""hbm"": 9042333, ""matrix"": 0, ""vector"": 0}",1.0,1256,16,C_consumer_major
0,1,10674562,prefill_s16,0,47104,47104,14522599168,89810944,nemotron3,0,0,0,0,0,0,prefill,14522599168,89810944,"{""banked_output_sram"": 47104, ""hbm"": 9367419, ""matrix"": 788494, ""vector"": 504018}","{""banked_output_sram"": 0, ""hbm"": 9042333, ""matrix"": 0, ""vector"": 0}",0.9955872662503623,1279,16,D_affine_layout
0,1,10627458,prefill_s16,0,0,0,14522599168,89810944,nemotron3,0,0,0,0,0,0,prefill,14522599168,89810944,"{""hbm"": 9367419, ""matrix"": 788494, ""vector"": 504018}","{""hbm"": 9042333, ""matrix"": 0, ""vector"": 0}",1.0,1256,16,E_stream_addressing
0,1,10674562,prefill_s16,0,47104,47104,14522599168,89810944,nemotron3,0,0,0,0,0,0,prefill,14522599168,89810944,"{""banked_output_sram"": 47104, ""hbm"": 9367419, ""matrix"": 788494, ""vector"": 504018}","{""banked_output_sram"": 0, ""hbm"": 9042333, ""matrix"": 0, ""vector"": 0}",0.9955872662503623,1279,16,F_affine_plus_stream
0,1,10627458,prefill_s16,0,47104,47104,14522599168,89810944,nemotron3,0,0,0,0,0,0,prefill,14522599168,89810944,"{""banked_output_sram"": 47104, ""hbm"": 9367419, ""matrix"": 788494, ""vector"": 504018}","{""banked_output_sram"": 0, ""hbm"": 9042333, ""matrix"": 0, ""vector"": 0}",1.0,1279,16,G_affine_stream_overlap
0,1,10627458,prefill_s16,0,0,0,14522599168,89810944,nemotron3,0,0,0,0,0,0,prefill,14522599168,89810944,"{""hbm"": 9367419, ""matrix"": 788494, ""vector"": 504018}","{""hbm"": 9042333, ""matrix"": 0, ""vector"": 0}",1.0,1256,16,H_packet_row_major
0,1,10674562,prefill_s16,0,47104,47104,14522599168,89810944,nemotron3,0,0,0,0,0,0,prefill,14522599168,89810944,"{""banked_output_sram"": 47104, ""hbm"": 9367419, ""matrix"": 788494, ""vector"": 504018}","{""banked_output_sram"": 0, ""hbm"": 9042333, ""matrix"": 0, ""vector"": 0}",0.9955872662503623,1279,16,I_packet_affine
0,1,10627458,prefill_s16,0,47104,47104,14522599168,89810944,nemotron3,0,0,0,0,0,0,prefill,14522599168,89810944,"{""banked_output_sram"": 47104, ""hbm"": 9367419, ""matrix"": 788494, ""vector"": 504018}","{""banked_output_sram"": 0, ""hbm"": 9042333, ""matrix"": 0, ""vector"": 0}",1.0,1279,16,J_packet_affine_overlap
0,1,16364550,decode_4,0,0,11776,11698958336,211810816,nemotron3,0,0,0,0,0,0,decode,11698958336,211810816,"{""banked_output_sram"": 11776, ""hbm"": 7636802, ""matrix"": 203306, ""vector"": 8512942}","{""banked_output_sram"": 0, ""hbm"": 6511960, ""matrix"": 0, ""vector"": 0}",0.7682874261742608,4956,4,A_row_gather_static
0,1,12572678,decode_4,0,0,0,11698958336,211810816,nemotron3,0,0,0,0,0,0,decode,11698958336,211810816,"{""hbm"": 7636802, ""matrix"": 203306, ""vector"": 4732846}","{""hbm"": 6511960, ""matrix"": 0, ""vector"": 0}",1.0,4864,4,B_arlo_stride_postincrement
0,1,12572678,decode_4,0,0,0,11698958336,211810816,nemotron3,0,0,0,0,0,0,decode,11698958336,211810816,"{""hbm"": 7636802, ""matrix"": 203306, ""vector"": 4732846}","{""hbm"": 6511960, ""matrix"": 0, ""vector"": 0}",1.0,4864,4,C_consumer_major
0,1,12584454,decode_4,0,11776,11776,11698958336,211810816,nemotron3,0,0,0,0,0,0,decode,11698958336,211810816,"{""banked_output_sram"": 11776, ""hbm"": 7636802, ""matrix"": 203306, ""vector"": 4732846}","{""banked_output_sram"": 0, ""hbm"": 6511960, ""matrix"": 0, ""vector"": 0}",0.9990642422786082,4956,4,D_affine_layout
0,1,10911710,decode_4,0,0,0,11698958336,211810816,nemotron3,0,0,0,0,0,0,decode,11698958336,211810816,"{""hbm"": 7636802, ""matrix"": 203306, ""vector"": 3071878}","{""hbm"": 6511960, ""matrix"": 0, ""vector"": 0}",1.152218854789946,4864,4,E_stream_addressing
0,1,10923486,decode_4,0,11776,11776,11698958336,211810816,nemotron3,0,0,0,0,0,0,decode,11698958336,211810816,"{""banked_output_sram"": 11776, ""hbm"": 7636802, ""matrix"": 203306, ""vector"": 3071878}","{""banked_output_sram"": 0, ""hbm"": 6511960, ""matrix"": 0, ""vector"": 0}",1.1509767120129966,4956,4,F_affine_plus_stream
0,1,10911710,decode_4,0,11776,11776,11698958336,211810816,nemotron3,0,0,0,0,0,0,decode,11698958336,211810816,"{""banked_output_sram"": 11776, ""hbm"": 7636802, ""matrix"": 203306, ""vector"": 3071878}","{""banked_output_sram"": 0, ""hbm"": 6511960, ""matrix"": 0, ""vector"": 0}",1.152218854789946,4956,4,G_affine_stream_overlap
